;ID;CLUSTER
770;Paris | 2011;1
771;Seine-Maritime | 2011;1
772;Seine-et-Marne | 2011;1
773;Yvelines | 2011;1
774;Deux-Sèvres | 2011;1
775;Somme | 2011;1
776;Tarn | 2011;1
777;Tarn-et-Garonne | 2011;1
778;Var | 2011;1
779;Vaucluse | 2011;1
780;Vendée | 2011;1
781;Vienne | 2011;1
782;Haute-Vienne | 2011;1
783;Vosges | 2011;1
784;Yonne | 2011;1
785;Territoire de Belfort | 2011;1
786;Essonne | 2011;1
787;Hauts-de-Seine | 2011;1
788;Seine-Saint-Denis | 2011;1
789;Val-de-Marne | 2011;1
790;Val-d'Oise | 2011;1
791;Guadeloupe | 2011;1
792;Martinique | 2011;1
793;Guyane | 2011;1
794;La Réunion | 2011;1
795;faute de frappe | 2011;0
